1.44,3.4,-7.08,636,474,-14666,-240.88,180.89,1.87
-0.56,0.4,1.92,634,484,-14630,-239.97,181.86,2.79
0.44,-4.6,-5.08,630,494,-14676,-240.88,180.89,1.87
-0.56,0.4,-2.08,604,496,-14648,-239.97,181.86,1.87
1.44,1.4,-7.08,628,514,-14658,-240.88,180.89,1.87
-3.56,-5.6,-8.08,624,468,-14682,-239.97,181.86,2.79
1.44,2.4,0.92,650,494,-14628,-239.97,181.86,1.87
5.44,2.4,2.92,636,494,-14688,-240.88,180.89,1.87
-1.56,5.4,2.92,636,486,-14668,-239.97,181.86,2.79
4.44,-5.6,0.92,624,476,-14670,-239.97,181.86,2.79
-0.56,-6.6,2.92,620,502,-14670,-240.88,180.89,2.79
3.44,6.4,-2.08,648,492,-14616,-239.97,180.89,2.79
-5.56,3.4,-0.08,624,470,-14664,-239.97,180.89,1.87
-1.56,1.4,4.92,616,510,-14666,-239.97,181.86,2.79
3.44,2.4,3.92,622,512,-14664,-239.97,181.86,1.87
0.44,-0.6,-2.08,642,518,-14622,-239.97,180.89,1.87
11.44,-2.6,1.92,630,522,-14644,-239.97,180.89,1.87
-0.56,9.4,-0.08,614,474,-14672,-240.88,180.89,1.87
7.44,7.4,-1.08,630,516,-14646,-239.06,180.89,0.96
8.44,-4.6,-1.08,642,456,-14640,-239.97,181.86,2.79
-0.56,16.4,-1.08,608,464,-14660,-239.97,180.89,2.79
8.44,-0.6,-5.08,632,506,-14648,-239.97,180.89,1.87
-0.56,-8.6,-3.08,634,460,-14692,-239.06,181.86,0.96
-2.56,1.4,-1.08,674,494,-14676,-239.97,181.86,1.87
-0.56,4.4,-4.08,606,506,-14696,-239.97,181.86,0.96
4.44,-0.6,0.92,626,502,-14648,-239.97,180.89,0.96
3.44,3.4,-0.08,640,492,-14664,-239.97,181.86,2.79
4.44,-0.6,0.92,604,496,-14608,-239.97,180.89,1.87
0.44,1.4,-3.08,634,528,-14626,-239.97,180.89,1.87
0.44,0.4,-6.08,624,460,-14676,-239.97,181.86,2.79
1.44,7.4,0.92,630,478,-14690,-239.06,180.89,2.79
2.44,-5.6,-5.08,622,530,-14672,-239.97,181.86,2.79
-4.56,3.4,-3.08,606,464,-14626,-239.97,181.86,1.87
-1.56,-0.6,2.92,656,522,-14676,-239.97,181.86,1.87
3.44,2.4,1.92,606,492,-14680,-239.06,180.89,2.79
-6.56,-2.6,-1.08,578,482,-14626,-239.97,181.86,2.79
-4.56,4.4,-7.08,610,490,-14614,-239.97,180.89,1.87
-7.56,2.4,-3.08,632,510,-14736,-239.97,181.86,1.87
-0.56,-8.6,-5.08,612,498,-14682,-239.97,180.89,2.79
1.44,7.4,-0.08,614,494,-14682,-239.97,179.91,2.79
1.44,-2.6,-4.08,610,506,-14674,-239.06,181.86,2.79
68.44,-15.6,-0.08,666,494,-14708,-239.97,181.86,2.79
-25.56,-5.6,-1.08,638,474,-14688,-239.97,180.89,1.87
8.44,-0.6,-1.08,616,500,-14622,-239.06,179.91,1.87
0.44,2.4,-4.08,646,482,-14666,-239.97,180.89,2.79
0.44,-0.6,3.92,616,486,-14612,-239.97,181.86,1.87
229.44,-288.6,89.92,568,470,-14468,-239.97,181.86,2.79
653.44,-793.6,53.92,774,706,-14594,-235.42,184.79,2.79
2091.44,-1991.6,-5.08,138,-34,-14668,-230.86,189.66,2.79
-154.56,-149.6,-373.08,294,192,-14674,-227.22,190.64,3.7
-51.56,15.4,-590.08,82,86,-14688,-228.13,189.66,4.61
-152.56,56.4,-672.08,286,112,-14718,-229.04,188.69,2.79
66.44,-15.6,-559.08,98,166,-14632,-230.86,187.71,3.7
-65.56,-5.6,-522.08,80,64,-14660,-231.77,186.74,2.79
89.44,1.4,-481.08,146,118,-14740,-230.86,183.81,3.7
-59.56,63.4,-654.08,188,170,-14596,-232.68,184.79,3.7
10.44,-17.6,-676.08,154,152,-14668,-235.42,182.84,3.7
-45.56,31.4,-520.08,186,152,-14694,-235.42,182.84,3.7
-40.56,35.4,-887.08,294,102,-14590,-234.5,180.89,3.7
-48.56,-46.6,-1087.08,146,196,-14690,-238.15,178.94,2.79
0.44,96.4,-1386.08,246,30,-14666,-239.97,175.04,3.7
-152.56,1.4,-2097.08,8,220,-14786,-239.97,172.11,4.61
-3.56,-50.6,-3210.08,290,256,-14602,-244.52,164.31,4.61
-162.56,104.4,-2830.08,118,224,-14600,-247.26,161.38,3.7
-397.56,-115.6,-4252.08,212,180,-14734,-251.81,152.61,5.52
-116.56,-170.6,-4487.08,182,380,-14614,-256.36,142.85,6.43
-241.56,64.4,-4392.08,98,56,-14702,-260.92,131.15,7.34
-125.56,217.4,-5189.08,-20,280,-14704,-267.29,119.45,5.52
-127.56,212.4,-5667.08,-86,68,-14784,-272.76,104.82,4.61
-179.56,154.4,-5846.08,578,76,-14604,-277.31,91.17,6.43
-90.56,198.4,-6399.08,24,254,-14646,-280.96,74.59,5.52
-118.56,128.4,-6422.08,212,376,-14620,-284.6,58.01,6.43
-218.56,96.4,-9769.08,66,258,-14694,-287.33,36.56,8.25
-249.56,189.4,-11146.08,208,96,-14598,-289.15,6.33,8.25
-236.56,118.4,-11268.08,178,-186,-14492,-287.33,-17.08,8.25
-182.56,32.4,-9146.08,86,842,-14764,-283.69,-46.33,9.16
-261.56,63.4,-8462.08,244,522,-14636,-279.13,-64.86,9.16
-214.56,139.4,-7561.08,142,484,-14550,-272.76,-86.32,7.34
-164.56,152.4,-7577.08,98,372,-14640,-267.29,-102.9,8.25
-347.56,166.4,-7963.08,36,60,-14638,-260.01,-121.42,8.25
-362.56,279.4,-9732.08,-160,966,-14678,-249.08,-143.85,7.34
-358.56,206.4,-9650.08,144,258,-14770,-238.15,-162.38,6.43
-394.56,202.4,-9307.08,-70,476,-14420,-223.58,-182.86,6.43
-419.56,153.4,-9204.08,252,708,-14668,-211.73,-197.49,6.43
-401.56,193.4,-8246.08,292,870,-14600,-192.61,-215.04,5.52
-206.56,210.4,-7706.08,414,722,-14630,-182.59,-226.75,4.61
-195.56,215.4,-7819.08,116,648,-14658,-164.37,-240.4,-0.86
-267.56,179.4,-6331.08,-28,802,-14650,-147.98,-250.15,2.79
-215.56,340.4,-6619.08,540,316,-14592,-137.05,-257.95,2.79
260.44,-68.6,-905.08,512,64,-15186,-128.85,-261.85,3.7
209.44,144.4,-4742.08,996,844,-14824,-127.03,-262.83,3.7
-302.56,183.4,-6086.08,-24,906,-14586,-112.46,-271.61,2.79
252.44,130.4,-2645.08,10,438,-14734,-103.35,-272.58,0.96
-102.56,200.4,-4818.08,474,638,-14624,-95.15,-278.43,0.96
-99.56,344.4,-7199.08,526,728,-14544,-82.4,-281.36,0.96
185.44,385.4,-5830.08,156,-282,-14600,-67.83,-286.23,1.87
238.44,38.4,-5930.08,70,688,-14824,-52.34,-287.21,1.87
-195.56,95.4,-7231.08,210,148,-14684,-37.77,-291.11,2.79
-89.56,158.4,-7270.08,158,176,-14564,-18.65,-292.08,1.87
-227.56,89.4,-7732.08,26,408,-14634,-2.25,-292.08,0.96
-150.56,123.4,-7362.08,-120,838,-14650,16.88,-291.11,0.96
-204.56,176.4,-8145.08,158,116,-14424,33.27,-291.11,1.87
-158.56,125.4,-8583.08,-152,742,-14672,54.22,-288.18,1.87
-65.56,213.4,-8505.08,-224,282,-14782,71.52,-282.33,6.43
-162.56,244.4,-5233.08,-68,464,-14742,87.01,-275.51,1.87
